joint,angle_bin_deg,samples,source_curves,angle_deg,shape_factor,shape_factor_q25,shape_factor_q75,reference_rate_per_command,direction,universal_rate_per_command,shape_factor_raw,universal_rate_per_command_raw
bucket,-82.0,48,6,-81.89490675,0.9056076186130629,0.8866068870639848,0.9221836935760134,48.549629124999996,0,43.96691401643865,0.8895931399393655,43.189417016200416
bucket,-80.0,50,6,-79.96058475000001,0.9042754334281248,0.8896910531897144,0.909662949363385,48.549629124999996,0,43.90223691978408,0.9031852139257757,43.84930716728019
bucket,-78.0,48,6,-78.0109865,0.9041642336453672,0.8743382840215863,0.9115142260745334,48.549629124999996,0,43.89683821157242,0.8887143045587791,43.146749884411015
bucket,-76.0,51,6,-76.03255675,0.9053459646903195,0.875828335567964,0.9027599460890513,48.549629124999996,0,43.95421081553035,0.892335214174375,43.32254370334334
bucket,-74.0,48,6,-74.08289325,0.907789910426316,0.8727401198714795,0.928765527466372,48.549629124999996,0,44.07286347461461,0.8895260786431117,43.186161215138654
bucket,-72.0,52,6,-71.99056999999999,0.911791923732775,0.8927113991973717,0.9320254329550796,48.549629124999996,0,44.26715973639651,0.9129432099855934,44.323054256987554
bucket,-70.0,48,6,-69.98147,0.9169071077604725,0.893217147324735,0.9228981614418803,48.549629124999996,0,44.515500023847345,0.8998199311967842,43.68592393888689
bucket,-68.0,48,6,-67.98040775,0.9231363869219901,0.8857123655050442,0.9401744962474751,48.549629124999996,0,44.81792921685511,0.9094352730842001,44.152745221431005
bucket,-66.0,47,6,-66.0823405,0.9299753946433413,0.9011604559885096,0.962714532481291,48.549629124999996,0,45.14996050530973,0.9318880142988873,45.24281748024367
bucket,-64.0,48,6,-64.04569525,0.938182731755908,0.9019990889548348,0.9464101136208729,48.549629124999996,0,45.548423678228694,0.9241415841880032,44.86673117131752
bucket,-62.0,49,6,-62.00950825,0.9471457984248816,0.9136168241055902,0.9832284516478662,48.549629124999996,0,45.98357724083,0.9582067194450052,46.520580854137926
bucket,-60.0,46,6,-60.06732925,0.956283974163306,0.9203637944067663,0.9825566817915795,48.549629124999996,0,46.42723228380959,0.9392256743244268,45.59905815312895
bucket,-58.0,46,6,-58.04063975,0.9663427462642721,0.9596350102013522,1.0026089756730914,48.549629124999996,0,46.91558193876438,0.9836410814263412,47.755409695362786
bucket,-56.0,46,6,-55.9878465,0.9770313830234227,0.9407747654707941,0.998219654371618,48.549629124999996,0,47.43451128927299,0.9713550912250066,47.15892942765461
bucket,-54.0,42,6,-54.10642725,0.987293400027955,0.9559816136853777,1.0195170062233103,48.549629124999996,0,47.93272840891748,0.9770556034036681,47.43568717975117
bucket,-52.0,47,6,-52.089663,0.998907069107359,0.9711658451048262,1.0479156950548412,48.549629124999996,0,48.49656773550302,1.0080238703701794,48.939185055619284
bucket,-50.0,39,5,-49.956505,1.0121600775802813,0.9664016018340995,1.0605323498090455,47.4526045,0,48.029631852106405,0.9738681120007389,46.21257835393276
bucket,-48.0,39,6,-47.973870250000004,1.025782529832105,1.0133208384655086,1.1123605720867649,48.549629124999996,0,49.80136138625294,1.0573079928653186,51.33191092450936
bucket,-46.0,44,6,-46.028000750000004,1.040880070317254,1.012355849842761,1.129380869398543,48.549629124999996,0,50.5343413775066,1.0698581028286198,51.9412141087056
bucket,-44.0,37,5,-43.956732,1.059442390259011,1.0345046445680612,1.0898857602072392,49.64665375,0,52.5977695172615,1.0351204682973238,51.39026747909509
bucket,-42.0,42,6,-41.948392999999996,1.080451398817944,1.0025919935507712,1.054520472061435,48.549629124999996,0,52.45551470019864,1.0242694134671253,49.72790014791021
bucket,-40.0,23,3,-40.057745,1.103281569361776,0.9364285914301171,1.027833183941588,54.6153025,0,60.25605665336812,0.9452082820561141,51.62283624999999
bucket,-38.0,40,6,-38.054226,1.1308109803982869,1.0540383953932384,1.2351980713030912,48.549629124999996,0,54.90045370881447,1.1168210112511936,54.2212458952529
bucket,-36.0,37,6,-36.02779875,1.1619576119116912,1.1319576987108844,1.2675489984150752,48.549629124999996,0,56.412611117283284,1.1961603335284674,58.07314056684339
bucket,-34.0,30,5,-33.920280500000004,1.197369626176412,1.154352065122158,1.2743892633448635,49.64665375,0,59.44539524154726,1.1576664428806929,57.47426504769191
