joint,amplitude,direction,angle_bin_deg,samples,angle_deg,forward_vel_deg_s,rate_per_command
arm,1.0,-1,104.0,6,103.9539145,36.3741395,36.3741395
arm,1.0,-1,106.0,9,105.917717,38.443115,38.443115
arm,1.0,-1,108.0,6,108.079365,39.4830915,39.4830915
arm,1.0,-1,110.0,9,110.049904,40.435219,40.435219
arm,1.0,-1,114.0,6,113.779583,48.433897,48.433897
arm,1.0,-1,116.0,6,115.7784345,50.5576175,50.5576175
arm,1.0,-1,120.0,6,119.86490599999999,42.847622,42.847622
arm,1.0,-1,122.0,6,121.734848,48.4036335,48.4036335
arm,1.0,-1,124.0,6,123.8178975,44.459649999999996,44.459649999999996
arm,1.0,1,50.0,9,49.950275,33.358196,33.358196
arm,1.0,1,52.0,9,51.889805,31.145517,31.145517
arm,1.0,1,54.0,9,53.894901,29.150333,29.150333
arm,1.0,1,56.0,11,55.923576,27.593128,27.593128
arm,1.0,1,58.0,11,57.997578,25.757206,25.757206
arm,1.0,1,60.0,11,59.985191,24.754057,24.754057
arm,1.0,1,62.0,12,61.981245,23.3153735,23.3153735
arm,1.0,1,64.0,13,64.079094,22.087856,22.087856
arm,1.0,1,66.0,14,65.98669799999999,21.0485125,21.0485125
arm,1.0,1,68.0,14,68.086109,19.7823145,19.7823145
arm,1.0,1,70.0,15,70.156868,18.908819,18.908819
arm,1.0,1,72.0,15,72.066513,18.395489,18.395489
arm,1.0,1,74.0,14,74.0153125,20.78236,20.78236
arm,1.0,1,76.0,10,76.02946850000001,25.774358,25.774358
arm,1.0,1,78.0,12,77.977848,23.891145,23.891145
arm,1.0,1,80.0,11,79.998055,25.27067,25.27067
arm,1.0,1,82.0,12,81.951504,24.815710000000003,24.815710000000003
arm,1.0,1,84.0,10,84.007225,26.523265,26.523265
arm,1.0,1,86.0,11,85.871933,25.558943,25.558943
arm,1.0,1,88.0,11,87.922546,26.663248,26.663248
arm,1.0,1,90.0,10,89.8473775,25.392313,25.392313
arm,1.0,1,92.0,12,91.99984,26.0988245,26.0988245
arm,1.0,1,94.0,9,93.894836,27.106459,27.106459
arm,1.0,1,96.0,11,95.906113,27.545563,27.545563
arm,1.0,1,98.0,10,97.92528899999999,28.1646575,28.1646575
arm,1.0,1,100.0,11,100.01857,28.775356,28.775356
arm,1.0,1,102.0,10,102.08638,29.1716585,29.1716585
arm,1.0,1,104.0,9,103.990784,30.937227,30.937227
arm,1.0,1,106.0,9,105.744453,27.637079,27.637079
arm,1.0,1,108.0,11,108.045975,30.316435,30.316435
arm,1.0,1,110.0,9,110.166153,30.211544,30.211544
arm,1.0,1,112.0,9,112.174255,29.865871,29.865871
arm,1.0,1,114.0,10,113.9802095,28.4930285,28.4930285
arm,1.0,1,118.0,9,118.135284,36.364159,36.364159
arm,1.0,1,120.0,7,120.042168,33.545406,33.545406
arm,1.0,1,122.0,8,121.780449,34.310547,34.310547
arm,1.0,1,124.0,9,123.844475,34.327827,34.327827
arm,1.0,1,126.0,8,126.0787545,36.827219,36.827219
arm,1.0,1,128.0,7,127.947044,36.183781,36.183781
arm,1.0,1,130.0,8,129.882019,35.368896500000005,35.368896500000005
arm,1.0,1,134.0,7,133.839722,37.322186,37.322186
arm,1.0,1,136.0,8,136.0124055,42.857502,42.857502
arm,1.0,1,138.0,6,138.2511445,48.2802735,48.2802735
arm,1.0,1,140.0,8,140.533127,44.9442255,44.9442255
boom,0.4,-1,-52.0,14,-51.771136999999996,-0.9007704999999999,-2.2519262499999995
boom,0.4,-1,-50.0,53,-50.610825,-1.879204,-4.69801
boom,0.4,-1,-46.0,29,-45.927216,9.803555,24.508887499999997
boom,0.4,-1,-44.0,28,-43.990480500000004,11.3435395,28.35884875
boom,0.4,-1,-42.0,31,-42.029716,9.229561,23.0739025
boom,0.4,-1,-40.0,30,-39.997934,8.1042,20.2605
boom,0.4,-1,-38.0,33,-38.027119,8.332919,20.8322975
boom,0.4,-1,-36.0,31,-35.923229,8.958594,22.396485
boom,0.4,-1,-34.0,33,-33.959904,8.938717,22.3467925
boom,0.4,-1,-32.0,36,-31.984886,7.664655,19.161637499999998
boom,0.4,-1,-30.0,33,-29.941334,6.966515,17.4162875
boom,0.4,-1,-28.0,34,-27.979247,8.785082500000001,21.96270625
boom,0.4,-1,-26.0,34,-25.982331000000002,8.325127,20.8128175
boom,0.4,-1,-24.0,36,-23.9796325,7.5058229999999995,18.7645575
boom,0.4,-1,-22.0,37,-21.955259,8.251326,20.628315
boom,0.4,-1,-20.0,37,-19.956242,7.027304,17.56826
boom,0.4,-1,-18.0,37,-17.946171,7.363258,18.408144999999998
boom,0.4,-1,-16.0,39,-15.951742,6.895057,17.2376425
boom,0.4,-1,-14.0,38,-14.0183415,7.2598765,18.149691249999997
boom,0.4,-1,-12.0,39,-11.982856,7.694221,19.235552499999997
boom,0.4,-1,-10.0,38,-10.003139000000001,7.122016500000001,17.805041250000002
boom,0.4,-1,-8.0,40,-7.952218,7.4229565,18.55739125
boom,0.4,-1,-6.0,38,-5.957905,6.813045,17.0326125
boom,0.4,-1,-4.0,39,-4.025495,7.278915,18.197287499999998
boom,0.4,-1,-2.0,40,-2.03388,6.6318445,16.57961125
boom,0.4,-1,-0.0,40,0.006447999999999999,6.9956689999999995,17.4891725
boom,0.4,-1,2.0,39,1.993541,6.934166,17.335415
boom,0.4,-1,4.0,40,3.994096,7.269807,18.1745175
boom,0.4,-1,6.0,28,5.729531,7.172518500000001,17.93129625
boom,0.4,-1,8.0,3,7.145784,6.679164,16.69791
boom,0.4,1,-48.0,42,-47.67441,0.09150249999999999,0.22875624999999997
boom,0.4,1,-46.0,60,-46.047315999999995,0.07032,0.17579999999999998
boom,0.4,1,-44.0,59,-44.132023,-1.610028,-4.0250699999999995
boom,0.4,1,-42.0,63,-41.976482,-1.131377,-2.8284425
